Color,Mean,Std Deviation
Black,6.60919540229885,0.4719847111900487
Blue,289.7816091954023,1.4149874139015253
Green,217.22222222222223,1.5119785655328903
Red,351.2413793103448,1.603311433679109
White,809.8477011494253,1.881677127527607
Black,6.058095238095238,0.2086480615904259
Blue,332.19222222222214,0.7998974802035466
Green,197.7084126984127,0.5603170427754123
Red,339.99492063492056,0.7927421555944002
White,821.5341269841272,0.9151620599325352
Black,4.546249999999999,0.1190311000443908
Blue,56.53470588235293,0.5039250018956815
Green,89.62875,0.3256430603863347
Red,106.60416666666666,0.6053717423699763
White,242.27809523809523,0.6480204171731873
Black,3.884444444444444,0.1236781965275056
Blue,27.158412698412697,0.3459748959936431
Green,56.04957264957264,0.4434955262171469
Red,59.25873015873016,0.4083342423451023
White,134.952380952381,1.0389249632986386
Black,4.25287356321839,0.4240317861493696
Blue,134.29885057471265,1.212844052270787
Green,74.09195402298853,0.8859420227373173
Red,124.17241379310344,1.5420577101361197
White,320.8735632183908,1.7604028514046766
Black,5.102222222222222,0.2037219809020262
Blue,325.54126984126987,0.7209354113933709
Green,189.3825396825397,0.4802941095858257
Red,321.7128205128205,1.00007839402286
White,794.2036630036631,0.7314299907572486
Black,5.147435897435898,0.1613464758321498
Blue,337.478315018315,0.5367033042032989
Green,201.2722222222222,0.4654152200675311
Red,343.88888888888886,0.5386478008929013
White,835.8301587301588,0.9352570530704228
Black,6.60919540229885,0.4719847111900487
Blue,289.7816091954023,1.4149874139015253
Green,217.22222222222223,1.5119785655328903
Red,351.2413793103448,1.603311433679109
White,809.8477011494253,1.881677127527607
Black,3.887142857142857,0.1170644336792906
Blue,36.37095238095239,0.4751512469551081
Green,66.56873015873015,0.4646534969845975
Red,73.61904761904763,0.3194382824999696
White,168.6492063492064,1.242876256358186
Black,5.919540229885057,0.4423527682043377
Blue,276.7471264367816,1.595268729946272
Green,199.42528735632183,1.479748347663819
Red,333.8160919540231,1.8204879140523669
White,769.0057471264367,2.1332044039447613
Black,7.505747126436781,0.4420433223684921
Blue,318.7126436781609,2.083045957191085
Green,228.42528735632183,1.620544078055798
Red,349.50574712643675,2.154030348740476
White,842.3361111111111,2.590829255747929
