No.,Order,Color,Intensity
1,1,White,940
2,2,White,948
3,3,White,944
4,4,White,942
5,5,White,943
6,6,White,947
7,7,White,945
8,8,White,946
9,9,White,944
10,10,White,943
11,11,White,938
12,12,White,946
13,13,White,943
14,14,White,944
15,15,White,943
16,16,White,939
17,17,White,945
18,18,White,945
19,19,White,944
20,20,White,939
21,21,White,944
22,22,White,943
23,23,White,949
24,24,White,950
30,1,Red,331
31,2,Red,327
32,3,Red,332
33,4,Red,329
34,5,Red,336
35,6,Red,327
36,7,Red,331
37,8,Red,333
38,9,Red,329
39,10,Red,330
40,11,Red,336
41,12,Red,335
42,13,Red,330
43,14,Red,323
44,15,Red,325
45,16,Red,331
46,17,Red,328
47,18,Red,334
48,19,Red,328
49,20,Red,330
50,21,Red,331
51,22,Red,332
52,23,Red,329
53,24,Red,328
59,1,Green,435
60,2,Green,433
61,3,Green,426
62,4,Green,437
63,5,Green,435
64,6,Green,429
65,7,Green,437
66,8,Green,430
67,9,Green,435
68,10,Green,432
69,11,Green,438
70,12,Green,436
71,13,Green,434
72,14,Green,435
73,15,Green,431
74,16,Green,437
75,17,Green,434
76,18,Green,435
77,19,Green,440
78,20,Green,433
79,21,Green,439
80,22,Green,431
81,23,Green,426
82,24,Green,431
88,1,Blue,271
89,2,Blue,268
90,3,Blue,266
91,4,Blue,261
92,5,Blue,268
93,6,Blue,269
94,7,Blue,266
95,8,Blue,266
96,9,Blue,271
97,10,Blue,269
98,11,Blue,269
99,12,Blue,265
100,13,Blue,265
101,14,Blue,267
102,15,Blue,266
103,16,Blue,269
104,17,Blue,270
105,18,Blue,265
106,19,Blue,270
107,20,Blue,265
108,21,Blue,273
109,22,Blue,264
110,23,Blue,270
111,24,Blue,271
117,1,Black,5
118,2,Black,5
119,3,Black,6
120,4,Black,4
121,5,Black,5
122,6,Black,4
123,7,Black,5
124,8,Black,5
125,9,Black,5
126,10,Black,4
127,11,Black,5
128,12,Black,5
129,13,Black,5
130,14,Black,5
131,15,Black,5
132,16,Black,5
133,17,Black,5
134,18,Black,6
135,19,Black,5
136,20,Black,5
137,21,Black,5
138,22,Black,5
139,23,Black,5
140,24,Black,5
175,1,White,940
176,2,White,945
177,3,White,940
178,4,White,944
179,5,White,940
180,6,White,942
181,7,White,937
182,8,White,939
183,9,White,946
184,10,White,942
185,11,White,946
186,12,White,941
187,13,White,944
188,14,White,939
189,15,White,942
190,16,White,941
191,17,White,944
192,18,White,942
193,19,White,943
194,20,White,941
195,21,White,941
196,22,White,948
197,23,White,945
198,24,White,946
205,1,Red,327
206,2,Red,332
207,3,Red,329
208,4,Red,326
209,5,Red,327
210,6,Red,330
211,7,Red,327
212,8,Red,329
213,9,Red,327
214,10,Red,324
215,11,Red,326
216,12,Red,326
217,13,Red,327
218,14,Red,328
219,15,Red,331
220,16,Red,328
221,17,Red,328
222,18,Red,326
223,19,Red,330
224,20,Red,327
225,21,Red,326
226,22,Red,321
227,23,Red,331
228,24,Red,328
234,1,Green,433
235,2,Green,437
236,3,Green,428
237,4,Green,429
238,5,Green,431
239,6,Green,427
240,7,Green,429
241,8,Green,436
242,9,Green,429
243,10,Green,430
244,11,Green,429
245,12,Green,431
246,13,Green,427
247,14,Green,426
248,15,Green,425
249,16,Green,423
250,17,Green,433
251,18,Green,433
252,19,Green,426
253,20,Green,427
254,21,Green,432
255,22,Green,434
256,23,Green,436
257,24,Green,430
263,1,Blue,270
264,2,Blue,265
265,3,Blue,263
266,4,Blue,266
267,5,Blue,265
268,6,Blue,264
269,7,Blue,262
270,8,Blue,257
271,9,Blue,264
272,10,Blue,268
273,11,Blue,264
274,12,Blue,265
275,13,Blue,263
276,14,Blue,263
277,15,Blue,268
278,16,Blue,266
279,17,Blue,265
280,18,Blue,262
281,19,Blue,263
282,20,Blue,263
283,21,Blue,262
284,22,Blue,259
285,23,Blue,263
286,24,Blue,267
292,1,Black,6
293,2,Black,5
294,3,Black,5
295,4,Black,5
296,5,Black,5
297,6,Black,5
298,7,Black,5
299,8,Black,6
300,9,Black,5
301,10,Black,5
302,11,Black,5
303,12,Black,5
304,13,Black,5
305,14,Black,4
306,15,Black,5
307,16,Black,5
308,17,Black,6
309,18,Black,6
310,19,Black,5
311,20,Black,5
312,21,Black,4
313,22,Black,5
314,23,Black,4
315,24,Black,5
350,1,White,944
351,2,White,942
352,3,White,941
353,4,White,942
354,5,White,941
355,6,White,938
356,7,White,938
357,8,White,940
358,9,White,939
359,10,White,940
360,11,White,938
361,12,White,940
362,13,White,940
363,14,White,938
364,15,White,942
365,16,White,945
366,17,White,940
367,18,White,936
368,19,White,940
369,20,White,947
370,21,White,943
371,22,White,940
372,23,White,942
373,24,White,942
379,1,Red,328
380,2,Red,324
381,3,Red,330
382,4,Red,330
383,5,Red,330
384,6,Red,328
385,7,Red,325
386,8,Red,333
387,9,Red,329
388,10,Red,330
389,11,Red,325
390,12,Red,326
391,13,Red,325
392,14,Red,325
393,15,Red,322
394,16,Red,331
395,17,Red,329
396,18,Red,325
397,19,Red,326
398,20,Red,326
399,21,Red,328
400,22,Red,328
401,23,Red,323
402,24,Red,328
408,1,Green,427
409,2,Green,432
410,3,Green,429
411,4,Green,429
412,5,Green,425
413,6,Green,431
414,7,Green,429
415,8,Green,420
416,9,Green,430
417,10,Green,433
418,11,Green,428
419,12,Green,432
420,13,Green,430
421,14,Green,426
422,15,Green,430
423,16,Green,425
424,17,Green,429
425,18,Green,431
426,19,Green,429
427,20,Green,424
428,21,Green,428
429,22,Green,431
430,23,Green,427
431,24,Green,426
437,1,Blue,266
438,2,Blue,260
439,3,Blue,263
440,4,Blue,266
441,5,Blue,269
442,6,Blue,261
443,7,Blue,259
444,8,Blue,269
445,9,Blue,264
446,10,Blue,263
447,11,Blue,267
448,12,Blue,260
449,13,Blue,261
450,14,Blue,264
451,15,Blue,263
452,16,Blue,264
453,17,Blue,261
454,18,Blue,266
455,19,Blue,267
456,20,Blue,266
457,21,Blue,265
458,22,Blue,261
459,23,Blue,260
460,24,Blue,263
467,1,Black,6
468,2,Black,5
469,3,Black,5
470,4,Black,5
471,5,Black,5
472,6,Black,6
473,7,Black,5
474,8,Black,5
475,9,Black,5
476,10,Black,5
477,11,Black,5
478,12,Black,5
479,13,Black,5
480,14,Black,5
481,15,Black,5
482,16,Black,4
483,17,Black,5
484,18,Black,4
485,19,Black,5
486,20,Black,5
487,21,Black,6
488,22,Black,4
489,23,Black,5
490,24,Black,5
525,1,White,941
526,2,White,937
527,3,White,938
528,4,White,930
529,5,White,945
530,6,White,940
531,7,White,940
532,8,White,935
533,9,White,938
534,10,White,945
535,11,White,941
536,12,White,944
537,13,White,938
538,14,White,941
539,15,White,936
540,16,White,937
541,17,White,939
542,18,White,934
543,19,White,937
544,20,White,936
545,21,White,937
546,22,White,946
547,23,White,936
548,24,White,930
554,1,Red,324
555,2,Red,328
556,3,Red,321
557,4,Red,330
558,5,Red,329
559,6,Red,325
560,7,Red,332
561,8,Red,327
562,9,Red,323
563,10,Red,329
564,11,Red,322
565,12,Red,332
